musicbrainz_id,type,score,name,spotify_id,followers,genres,popularity
52491cf4-55df-4d0f-b4d4-c3652f7e122d,Person,70,ARTY,1rSGNXhhYuWoq9BEz5DZGO,149935,"['big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",66
b3c32ceb-1628-43d2-9fb4-447eb9f7296a,Group,70,АукцЫон,7pUNFHEe0MlfvvDG1dXH3m,18494,"['classic russian rock', 'russian rock']",41
946c6379-66eb-43f1-9e13-d79d9a04935b,Person,70,Михаил Щербаков,,0,[],0
ddfc0d58-b989-4d0a-a915-d8e56e4f1f36,Person,70,Жанна Бичевская,3R9gRNvsM5PAeYNbkFDHZS,2329,"['bard', 'russian romance']",22
01e10b31-ae0f-49a6-b4f4-5c3dcff9788a,Group,70,Ночные Снайперы,2GUwb2rxMKePzxDi94EEoZ,111991,"['classic russian rock', 'russian pop', 'russian rock']",47
0783b768-6719-450b-a7e1-7e891da17af3,Group,69,Сплин,6rdFMVoMSEN4GGX98u6QTj,344070,"['classic russian rock', 'russian rock']",57
e2b294b7-f705-4317-a96b-fd94da3719e5,Person,69,Мстислав Ростропович,2IXEoqZBsvTHyiDhuKykeB,107,[],1
be84006a-c37a-4a4a-866f-f7e0ab3a5f9c,Group,69,Dvar,1TtXnWcUs0FCkaZDPGYHdf,1454253,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",84
0d512eb7-93b7-4cda-8e97-dcd9a80ebfad,Person,69,Эдуард Артемьев,0MiJVAtMX8g494r2i1FDwm,5547,['soviet synthpop'],39
927dcbc3-9c46-4833-8173-b76e785a4b75,Person,69,Dolphin,17T6Ttg0XIL8GRj0rRGioB,4492,['otacore'],37
6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,Orchestra,69,Симфонический оркестр Мариинского театра,0VZmZqkuZnMAG2r6IhI4c5,21,[],3
a0d726ea-d8af-4e04-8eb6-10f7bed37140,Group,69,Distemper,73KPvw0VFDPbhS63pEqEXQ,16880,"['russian punk', 'russian rock']",35
036b6660-ff83-4d6b-ac43-78ab79ab2833,Group,69,Слот,3r1XkJ7vCs8kHBSzGvPLdP,254791,"['hip hop', 'rap', 'uk alternative hip hop', 'uk hip hop']",69
9c6d5959-a574-423e-8955-bd7ebbd9626c,Person,69,Алексей Рыбников,0tq4FzYtXFteCwPXVMXzZb,3225,['detskie pesni'],33
cec59910-2d12-46ec-8e39-85ca06acb0ed,Group,69,Земфира,6oO3QiWdVj5FZQwbdRtsRh,522591,"['classic russian rock', 'russian alternative', 'russian pop', 'russian rock', 'tatar pop']",57
0d1e04f4-ddb6-4b66-8b0b-7f3b66f34d6e,Person,69,Валерий Леонтьев,5v3o1cxdSAATA5avCi1JA9,14420,"['classic russian pop', 'russian pop']",35
90ea34d4-84b7-45a1-90fb-5c007d8521e1,Person,69,Леонид Агутин,3OBELtlkijaKfWgw1JHryW,44441,"['classic russian pop', 'russian pop']",46
4c5e11b0-5c4a-4053-9633-43cfdbd42d53,Group,69,Театр Яда,3S4vbe4Mp0dX8UIG0Qpxq4,291,[],6
7023be99-fbce-4c3c-a19c-d55a462a9439,Person,69,Линда,1sXbwvCQLGZnaH0Jp2HTVc,454400,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']",66
40153570-2df0-46e6-bee7-f68289787240,Person,69,Сергей Курёхин,66nyJoCDzy732FFAnfBVhX,1205,['classic russian rock'],15
fc582f4a-0fe5-4cdc-96c5-527fdbbb30e6,Group,68,Lumen,7tQd3Qyg1i6U9FS1tNb0ne,100679,"['russian punk', 'russian rock']",51
8c806f4e-850e-4bdc-bc80-82d86dd3227d,Person,68,Николай Карлович Метнер,,0,[],0
b0bd3ab7-d18c-4366-97ea-c677b1b68568,Person,68,Andrey Avkhimovich,2cTEe7GL9OpYaIQcNyJCSL,4128,[],43
5761282a-0965-4ff6-9796-7b9ba0ed70e2,Person,68,Евгений Игоревич Кисин,,0,[],0
8d89d49e-66e4-42d2-98cc-ab1ac41e9613,Person,68,Тимур Шаов,2wjXocWTtYC6pGdIrVCSXJ,3338,['bard'],23
6b7f8664-86c3-41dd-88f3-e0b5910cde9d,Person,68,Александр Малинин,6CLgDkCzJqZEziJXZhVLTd,8285,"['classic russian pop', 'russian pop']",35
4a07ca67-39d8-4f3a-a7b7-aac69291223b,Person,68,Валерий Меладзе,2igtm1MhKEpmG3PzToJT40,87776,"['classic russian pop', 'russian pop', 'russian rock']",51
