artist_spotify_id,name,spotify_id,duration_ms,explicit,popularity,album_type,album_name,album_spotify_id,release_date,album_popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
61Oq49nPScUCDWYAdAdgM1,Gerzeh,33sLSJnXycC20SCn8PPLQN,221907.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0,5,1,4,0.159,0.455,0.661,0.839,0.669,-10.709,0.0404,0.335,109.986
0RVIZpggXkAvhGOW4EFfWG,Вавилон,2EJPAMzmaYxQiR28VnQcy4,208981.0,0.0,20.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,9,1,4,0.487,0.838,0.832,3.81e-06,0.226,-4.854,0.158,0.937,147.976
0RVIZpggXkAvhGOW4EFfWG,Иван И Данило,61G7e1DOt9BgvrDJznmcSP,349819.0,1.0,18.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,4,1,4,0.216,0.77,0.699,0.0,0.346,-7.727,0.129,0.965,151.022
0RVIZpggXkAvhGOW4EFfWG,Вавилон Даб,6Pq188l4UwU5aDvUUKIxYu,346208.0,0.0,16.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,7,1,4,0.511,0.871,0.784,0.00177,0.0917,-6.432,0.139,0.962,148.065
0RVIZpggXkAvhGOW4EFfWG,Кипение Аквариума На Ямайке,0DX5kY3FExm41MsdS7bgQP,38864.0,0.0,16.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,5,1,4,0.542,0.352,0.67,6.12e-06,0.71,-11.34,0.311,0.346,90.141
0RVIZpggXkAvhGOW4EFfWG,Рыба,6bcmGnzPLmnqFACan9SMzP,218906.0,0.0,15.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,7,1,4,0.647,0.716,0.806,0.0,0.094,-6.808,0.0971,0.915,95.027
0RVIZpggXkAvhGOW4EFfWG,Аристократ,6x6uCYleRbTa3W6qH42rBj,187623.0,0.0,15.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,7,1,4,0.0979,0.894,0.654,5.01e-05,0.36,-6.616,0.0995,0.887,148.018
0RVIZpggXkAvhGOW4EFfWG,Хтынь Мух,4RUvH5VLjjtiuAyx48WtB2,52711.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,7,1,4,0.265,0.828,0.893,0.00011,0.0921,-8.06,0.297,0.239,147.939
0RVIZpggXkAvhGOW4EFfWG,Яблочные Дни,7s36UziB2dsOLuTm8RslSW,217440.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,2,1,4,0.431,0.767,0.79,0.00018,0.109,-7.151,0.0717,0.673,104.982
0RVIZpggXkAvhGOW4EFfWG,Рыба Ест Вавилон,5Gw01zWWkYVjktfagk0hJQ,70773.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,7,1,4,0.897,0.699,0.178,0.859,0.1,-18.326,0.0607,0.474,148.048
