,artist_spotify_id,name,spotify_id,duration_ms,explicit,popularity,album_type,album_name,album_spotify_id,release_date,album_popularity
39,0RVIZpggXkAvhGOW4EFfWG,Usb 3.0,5lQy8nLDPHwg6HlLlxjNmO,223317.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
40,19h4X7tdMRnD8WvNtUprEh,Часть 1.1 - Идиот,1xZgUkqBzx8lQDKqJ9dCp3,106300.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
41,19h4X7tdMRnD8WvNtUprEh,Часть 1.2 & Часть 2.1 - Идиот,04ouXAkK57zySHB07v2HSO,100805.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
42,19h4X7tdMRnD8WvNtUprEh,Часть 1.1 - Бесы,3nie6TJeykIHnViZWTsa2x,126400.0,0.0,1.0,album,Бесы,4lDsNi2syZeLQEkNhnCIrB,2020-05-13,17.0
43,19h4X7tdMRnD8WvNtUprEh,Часть 2.2 - Идиот,2dawTRV1Ng0AK8o1IsqJa3,104500.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
44,19h4X7tdMRnD8WvNtUprEh,Часть 1.1 - Преступление и наказание,4YVAnlbEosPcAVnNkkcX6C,95300.0,0.0,1.0,album,Преступление и наказание,4fSFXOKnabOLzQonFQVw1p,2020-06-17,17.0
45,19h4X7tdMRnD8WvNtUprEh,Часть 2.3 & Часть 3.1 - Идиот,7ufssU5KN99Ql5MtNwfWmH,109812.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
46,19h4X7tdMRnD8WvNtUprEh,Часть 3.2 & Часть 4.1 - Идиот,1aphwsD5LZDbmb7m8iGH9d,124936.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
47,19h4X7tdMRnD8WvNtUprEh,Часть 1.4 - Бесы,7HZgfz5FtROEnDSOzQaOJ9,124200.0,0.0,1.0,album,Бесы,4lDsNi2syZeLQEkNhnCIrB,2020-05-13,17.0
48,19h4X7tdMRnD8WvNtUprEh,Часть 4.2 & Часть 5.1 - Идиот,2Jp70eVym5SifqFrmx1bBI,116176.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
49,19h4X7tdMRnD8WvNtUprEh,Часть 6.3 & Часть 7.1 - Идиот,3ZXkLBzmSCWstuBoT1obAI,100731.0,0.0,0.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0
50,7lyhSLlB5fWJmU5eB6k84L,Позови меня с собой,4hpEs4S57UaWS4IF2sm5yJ,259519.0,0.0,47.0,album,Да!,4jjmO6nWehkw97QIxcQi27,1998-01-01,43.0
51,7lyhSLlB5fWJmU5eB6k84L,Миллион алых роз,6hZKMAiaIepVtAtgFKm4xt,353733.0,0.0,43.0,album,Миллион роз,7oI0E3DdTbD85rhMg19GSU,1983-01-01,40.0
52,7lyhSLlB5fWJmU5eB6k84L,"Мне нравится, что вы больны не мной",42NLt1tVVwhh4KncxJfRHk,93786.0,0.0,38.0,album,"Микаэл таривердиев, музыка из кинофильма ""ирония судьбы или с лёгким паром!""",5HN8cFVy6TKmJibg5uPPuX,2015-03-26,40.0
53,7lyhSLlB5fWJmU5eB6k84L,Этот мир,6eCYsMBtr89c6POdBe2OVo,185866.0,0.0,37.0,album,То ли ещё будет...,2sWIs8FRCEJBQKMJJ3lVCO,1980-01-01,33.0
54,7lyhSLlB5fWJmU5eB6k84L,Не отрекаются любя,6JgcKLyJ0getX7VaarjYRo,250466.0,0.0,35.0,album,Зеркало души,2oskekdLzbhAzW6rBLScmt,1977-01-01,34.0
55,7lyhSLlB5fWJmU5eB6k84L,Старинные часы,45iLSCMnKFpn3UVa82SCAy,279026.0,0.0,34.0,album,Миллион роз,7oI0E3DdTbD85rhMg19GSU,1983-01-01,40.0
56,7lyhSLlB5fWJmU5eB6k84L,По улице моей,4zfFZmtVUyMIm4Mfp6gQsZ,167426.0,0.0,33.0,album,Арлекино и другие,17le97KX6ObxtiDlT5CW4l,1979-01-01,32.0
57,7lyhSLlB5fWJmU5eB6k84L,Песенка про меня (Так же как все),3JAD9xfReZf3RQIi6joXXQ,222667.0,0.0,33.0,album,"Песни из кинофильма ""Женщина, которая поёт"" (Из к/ф ""Женщина, которая поёт"")",3kxUBVPxAE2ylvMrFj8KL8,2014,29.0
58,7lyhSLlB5fWJmU5eB6k84L,Всё мы делим пополам,2FTkOVYLBFXVY8Z96b95ZR,76861.0,0.0,32.0,single,"Песни из ""Дважды два - четыре""",1S5woeTMwoxfkyaQbGm4XP,1974-01-01,32.0
59,7lyhSLlB5fWJmU5eB6k84L,Две звезды,43832erC86HoL9JnMmZCi0,240653.0,0.0,32.0,album,Поёт Алла Пугачёва,2I2hVkJcsQivD5KX9B3K09,1987-01-01,30.0
60,34MYamymtmnsmpwbqydd7I,Nocturne,4Ihs5QBKqaVzRlfot22aKt,245000.0,0.0,44.0,album,Cello Moods,7i83TEHhrYpSdiemOVqajE,1999-03-25,51.0
61,34MYamymtmnsmpwbqydd7I,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),4Dcm4KMuDz0l01weeSpD4J,642573.0,0.0,48.0,album,Borodin: Prince Igor (Highlights) / In the Steppes of Central Asia,7EvHAkgN8py1HEVvUtszxy,2005-08-01,45.0
62,34MYamymtmnsmpwbqydd7I,Polovetsian Dances from Prince Igor: Introduzione,1KeJxSvW6pLU1ieRfQOMca,136960.0,0.0,45.0,album,Mussorgsky: Pictures at an Exhibition - Expanded Edition,5kxCGK9XhXVD9AX9wje6om,1958,42.0
63,34MYamymtmnsmpwbqydd7I,Nocturne,6yEMRS7FygAnnxwZSyZRYg,428160.0,0.0,43.0,album,Classic,3gZv6Vq2Q2a300JEUV8Dq9,2020-02-07,64.0
64,34MYamymtmnsmpwbqydd7I,Borodin - String Quartet No.2 in D major: Notturno: Andante,7B1xrlaP8Vm1RRmgUtfwdS,517293.0,0.0,41.0,album,Borodin Quartet 60th Anniversary,523Kn3uXMY8a9g3ZYmAN8f,2005-06-01,41.0
65,34MYamymtmnsmpwbqydd7I,"Polovtsian Dances From ""Prince Igor""",0PlTjNRzj6MkPfaLHNeZLZ,690306.0,0.0,40.0,album,"Tchaikovsky: Overture ""1812""; Marche slave / Borodin: In the Steppes; Polovtsian Dances / Rimsky-Korsakov: Russian Easter; Capriccio",0dqOPzSjsaPgjkoaP9VWnU,1990-01-01,38.0
66,34MYamymtmnsmpwbqydd7I,Borodin - String Quartet No.2 in D major: I. Allegro moderato,7x9L7ZytdIgL3e4pobRsJZ,525560.0,0.0,40.0,album,Borodin Quartet 60th Anniversary,523Kn3uXMY8a9g3ZYmAN8f,2005-06-01,41.0
67,34MYamymtmnsmpwbqydd7I,In the Steppes of Central Asia,4KqnNrqtlD8x4jHbYFsewL,448560.0,0.0,39.0,album,Borodin: Prince Igor (Highlights) / In the Steppes of Central Asia,7EvHAkgN8py1HEVvUtszxy,2005-08-01,45.0
68,34MYamymtmnsmpwbqydd7I,In the Steppes of Central Asia,0XgPWSYgvA56fGa39roY7t,424600.0,0.0,39.0,album,Borodin: In the Steppes of Central Asia; Symphonies Nos.1 & 2,5uAKTHUJBcr8fbU5ScUt1A,1994-01-01,35.0
69,34MYamymtmnsmpwbqydd7I,String Quartet No. 2 in D major: III. Notturno - Andante,6VP3hEVThiFtKXjQ7Mmtwd,474400.0,0.0,26.0,album,Borodin: String Quartet No.2/Dvorak: String Quartet 'American'/Shostakovich: String Quartet No.8,0yIoj9aUzBpMPVaqQb8yZa,1997-01-24,28.0
70,7lUh5w2odGeIGvlkn7ZMPF,Священная война,3zDebn1IehlLPIAKxqRaNp,212693.0,0.0,40.0,album,Священная война,3iSuly1GwhNZ9JTRoQ66Fn,1993-01-01,41.0
71,7lUh5w2odGeIGvlkn7ZMPF,Песня защитников Москвы,7iH0X196KuuXnsNo2gKg3D,237266.0,0.0,34.0,album,Священная война,3iSuly1GwhNZ9JTRoQ66Fn,1993-01-01,41.0
72,7lUh5w2odGeIGvlkn7ZMPF,Катюша,7pPB9erSr5D2KcOxOZzoD6,148960.0,0.0,34.0,album,"Антология, Часть №4",6w2DybsXvcYAoHopUjosxL,2019-11-22,34.0
73,7lUh5w2odGeIGvlkn7ZMPF,Смуглянка,63ogSUwEcFagUH6IT5N8xH,207320.0,0.0,33.0,album,"Антология, Часть №4",6w2DybsXvcYAoHopUjosxL,2019-11-22,34.0
74,7lUh5w2odGeIGvlkn7ZMPF,Партизанская (По долинам и по взгорьям),6AHtGAjOKBCnrm3I7g2kST,136066.0,0.0,33.0,album,"Антология, Часть №3",4e4Fq57UcCMs6tvaiBK7P6,2019-11-22,28.0
75,7lUh5w2odGeIGvlkn7ZMPF,День Победы,2kRWItn28EHk6CsCgCW0Z5,209760.0,0.0,27.0,album,"Антология, Часть №2",0TiEBzx3YlvYfSh8DpE6Yx,2019-11-01,28.0
76,7lUh5w2odGeIGvlkn7ZMPF,На солнечной поляночке,6lBgZo5CUpyQrdNxuPFpe7,200160.0,0.0,26.0,album,"Антология, Часть №2",0TiEBzx3YlvYfSh8DpE6Yx,2019-11-01,28.0
77,7lUh5w2odGeIGvlkn7ZMPF,Песня артиллеристов,1my7DKCUOt0t9IbLIHPenI,138973.0,0.0,25.0,compilation,Любимые фронтовые песни,5Xbdn0Lvo2j0sf2y0YnoQC,2004-01-01,26.0
78,7lUh5w2odGeIGvlkn7ZMPF,Моя любимая,6zI4eWfBKdujnnLmXTIHqJ,133866.0,0.0,25.0,album,Священная война,3iSuly1GwhNZ9JTRoQ66Fn,1993-01-01,41.0
79,7lUh5w2odGeIGvlkn7ZMPF,We Are the Army of the People,5XU7x5ZQabwvqZtrtG5ctr,163069.0,0.0,25.0,album,"I Love You, Russia!",2UhvvipssQRHKFcArzRvdc,2020-06-12,24.0
80,2Q3eZMfDQgT8MhPowKFXYO,All The Things She Said,4bJygwUKrRgq1stlNXcgMg,214440.0,1.0,73.0,album,200 KM/H In The Wrong Lane (10th Anniversary Edition),4vyPN44zoiJXE6hruCCrGB,2002,70.0
81,2Q3eZMfDQgT8MhPowKFXYO,All About Us,3PRGcLvFKBGcG5LMer7rn7,180960.0,0.0,59.0,album,Dangerous and Moving,1IzFFToDvhT3gnZ2ZpyXUi,2005-01-01,57.0
82,2Q3eZMfDQgT8MhPowKFXYO,Not Gonna Get Us,6SmWHBXVdL14zir3Vzk0jH,261680.0,0.0,56.0,album,200 KM/H In The Wrong Lane (10th Anniversary Edition),4vyPN44zoiJXE6hruCCrGB,2002,70.0
83,2Q3eZMfDQgT8MhPowKFXYO,Ya Soshla S Uma,34v2sh3ilJ1Qqn1Ep40cgg,214253.0,0.0,51.0,album,200 KM/H In The Wrong Lane (10th Anniversary Edition),4vyPN44zoiJXE6hruCCrGB,2002,70.0
84,2Q3eZMfDQgT8MhPowKFXYO,How Soon Is Now?,1wS3gRK4Yryz0Vcvegifaj,196173.0,0.0,50.0,album,200 KM/H In The Wrong Lane (10th Anniversary Edition),4vyPN44zoiJXE6hruCCrGB,2002,70.0
85,2Q3eZMfDQgT8MhPowKFXYO,Нас не догонят,4brOVxY7opSHbliPlVdPnU,276106.0,0.0,49.0,album,200 По встречной,2O9mD7oKwBnhQZQUAJM6GM,2002-01-01,52.0
86,2Q3eZMfDQgT8MhPowKFXYO,Nas Ne Dagoniat,2KwhAuxkPrKtXquWmilxU5,261506.0,0.0,47.0,album,200 KM/H In The Wrong Lane (10th Anniversary Edition),4vyPN44zoiJXE6hruCCrGB,2002,70.0
87,2Q3eZMfDQgT8MhPowKFXYO,Я сошла с ума,7l4FWFOnFSBySU14PosOzh,209466.0,0.0,46.0,album,200 По встречной,2O9mD7oKwBnhQZQUAJM6GM,2002-01-01,52.0
88,2Q3eZMfDQgT8MhPowKFXYO,Gomenasai,7y3dvsomon8JrbWFl2AZrg,222733.0,0.0,45.0,album,Dangerous and Moving,1IzFFToDvhT3gnZ2ZpyXUi,2005-01-01,57.0
89,2Q3eZMfDQgT8MhPowKFXYO,Malchik Gay,4OSb0GJFHeJv4rXA9ty7KZ,188893.0,0.0,45.0,album,200 KM/H In The Wrong Lane (10th Anniversary Edition),4vyPN44zoiJXE6hruCCrGB,2002,70.0
90,3ANNnVJ7NCdIZV6P2YzvlI,Жестокая любовь,5tDu901YTok9aY203HV2Kw,226186.0,0.0,44.0,album,Жестокая любовь,1jML9laLNAnE5jLk9OSU70,2002-01-01,39.0
91,3ANNnVJ7NCdIZV6P2YzvlI,Снег,521WLOw2BiEbeEzJKnJ52D,277000.0,0.0,43.0,album,ДРУGOY,0wi26cYhE0nWFd4K9IaAZi,2011-01-01,45.0
92,3ANNnVJ7NCdIZV6P2YzvlI,Просто подари,22PF3X1V9aa9AFJYMg7vbN,239613.0,0.0,42.0,album,ДРУGOY,0wi26cYhE0nWFd4K9IaAZi,2011-01-01,45.0
93,3ANNnVJ7NCdIZV6P2YzvlI,Цвет настроения синий,0Ldggi6zv9KNaQlpXGqE2I,202500.0,0.0,39.0,album,"Романы, Часть 2",0djvPczOhglf2zCu627QZI,2020-04-30,37.0
94,3ANNnVJ7NCdIZV6P2YzvlI,Стеснение пропало,0QB6VUdogn4anWGmBmS8RK,212926.0,0.0,39.0,single,Стеснение пропало,3yfuhkb9ochnmT1qQTsnc4,2019-04-30,34.0
95,3ANNnVJ7NCdIZV6P2YzvlI,Романы,0MDXGFHg5Bo7cwxukAekfI,243750.0,0.0,38.0,album,"Романы, Часть 1",6sMLDsf3EHFxuNURQ6Ia0Z,2020-03-06,35.0
96,3ANNnVJ7NCdIZV6P2YzvlI,Ibiza,71LTRDCWRdQysx378Rdff2,189960.0,0.0,36.0,single,Ibiza,6pbyNAHh6KMwlNkNiFLYLy,2018-07-25,31.0
97,3ANNnVJ7NCdIZV6P2YzvlI,Я за тебя умру,70CAm4XaYRW7EVpUQJehD6,209560.0,0.0,36.0,album,Я за тебя умру,3CRCChvdx7gPCa7SW1KsoN,2001-01-01,31.0
98,3ANNnVJ7NCdIZV6P2YzvlI,Дископартизаны,6YPKCgA1TfKlaP2GsFrVKd,225226.0,0.0,35.0,album,ДРУGOY,0wi26cYhE0nWFd4K9IaAZi,2011-01-01,45.0
99,3ANNnVJ7NCdIZV6P2YzvlI,"Ты, ты, ты",09XEVsN85vv7BrvNhOqD2Q,277666.0,0.0,32.0,album,Небо и земля,3630JYZhXIgf3lK0iF0UQR,1991-01-01,27.0
100,0ICn3Cbc4mMeLmTvwnqXYu,Осколок Льда,4GDoTz8ymVxzu1QHk7uLEp,325720.0,0.0,47.0,album,Химера,6lamlNvsxWGiVW34WJhkqr,2001-05-13,48.0
101,0ICn3Cbc4mMeLmTvwnqXYu,Беспечный ангел - 2019 Remaster,15tCG3LQRDVvvCJmVhkTpC,238320.0,0.0,46.0,album,Легенды русского рока: Ария (2019 Remaster),3ke0AwigfXAH8duC7ZSD58,1998-01-01,46.0
102,0ICn3Cbc4mMeLmTvwnqXYu,Штиль,3wDj9zAozRW7nliJeWYZOX,335533.0,0.0,44.0,album,Химера,6lamlNvsxWGiVW34WJhkqr,2001-05-13,48.0
103,0ICn3Cbc4mMeLmTvwnqXYu,"Встань, страх преодолей",75mzvCmnxclJax5EQrjdk9,256133.0,0.0,44.0,album,С кем ты?,2IfT1pzh0MdLQmYsA9xhua,1986,40.0
104,0ICn3Cbc4mMeLmTvwnqXYu,Потерянный рай - 2019 Remaster,4vQH70JihnwzpDJj04Cfk6,335533.0,0.0,41.0,album,Легенды русского рока: Ария (2019 Remaster),3ke0AwigfXAH8duC7ZSD58,1998-01-01,46.0
105,0ICn3Cbc4mMeLmTvwnqXYu,Там высоко,0p7AgKyXcVeeoAZHoOtrd1,271906.0,0.0,40.0,album,Беспечный Ангел,2FEgijZclNjVoCeFKHqKsw,2004-05-13,38.0
106,0ICn3Cbc4mMeLmTvwnqXYu,Ангельская пыль,7xsD4jXkr2Jd1JYFOKOylm,360706.0,0.0,39.0,album,Ночь короче дня,4oprBnc1RigNeuMLxaFhhJ,1995,41.0
107,0ICn3Cbc4mMeLmTvwnqXYu,Битва,6Qdc28opnAEn1qCpDTocco,305096.0,0.0,19.0,album,Крещение огнём (Перезагрузка),1bRLMTrY88JMNfzfpQ8g0t,2020-10-16,30.0
108,0ICn3Cbc4mMeLmTvwnqXYu,Химера,6N2QUDzRxJLPqzav4lrB9t,279493.0,0.0,36.0,album,Химера,6lamlNvsxWGiVW34WJhkqr,2001-05-13,48.0
109,0ICn3Cbc4mMeLmTvwnqXYu,Воля и разум - 2019 Remaster,02ISL8KQOAE6jRToQQt9TL,272520.0,0.0,35.0,album,Легенды русского рока: Ария (2019 Remaster),3ke0AwigfXAH8duC7ZSD58,1998-01-01,46.0
