,artist,musicbrainz_id,spotify_id,type,followers,genres,popularity
4430,Messaborah,eaca1b25-a4ae-4481-890d-5fbda277ecf9,,Group,0,[],0
4431,OPIUM project,d8179bfe-3dc2-4594-b2ad-e1167f2c276e,3xpJM1smsvdUVmrjSHUCCr,Group,6065,"['dubsteppe', 'russian pop']",37
4432,Георг Кристалл,77de5851-a280-46cf-a272-cfaedc3ad716,4mpMkZz5vSPNYxSY7rX7aY,Group,8,[],0
4433,Turns,110df7ef-2889-433d-b64f-90579ce14cbf,2qnpHrOzdmOo1S4ox3j17x,Group,101068,['hardcore punk'],52
4434,ПОВЕДЕНИЕ ДВОЙКА,0d8ecf1a-8eb7-4266-8fd3-1b54b6eadd78,,Group,0,[],0
4435,I Chaos,d9b69265-0a27-41e9-b8a9-0f177dd58212,0KZ2ISII2XeR9q8VRyXuFX,Group,426,['dutch death metal'],2
4436,Северный Лес,97e598ce-dcf3-4fdb-b976-1daa9187fa5c,0rKwwe5WIJKf7EOxXeuvsA,Group,14,[],1
4437,With Taste of Lime,41f5d757-3cdd-4904-beea-0e73d8b8d48e,,Group,0,[],0
4438,Atlas Gør,ab2fad72-7a8c-4354-aef2-8edf60c749cb,0sMzFeaPgTv3Zn9kfE4QMA,Group,314,[],19
4439,И.К.С.Миссия,1b24f07e-0eca-402e-972b-b1846edf1557,,Group,0,[],0
4440,Маша Ржевская,74a242b0-bd52-46e0-b6a2-76faae8e014c,,Person,0,[],0
4441,Paul de Schlözer,ab8c6c75-9804-402e-9f04-895c4d71c81f,2gmLQmP8NhpVMCtpAxURZF,Person,14,[],2
4442,Matsu:Gravas,305c29c2-b3e3-4682-b601-6fe23912e18b,,Group,0,[],0
4443,Every Time She Lied,66de89c7-10f5-490a-aec0-3e2bdfbadac4,48wW8jFcJoKyZp3vkLLuna,Group,43,[],3
4444,Ноктюрн,69bddebb-601a-4a3d-a5f4-05bb2950eed8,44EobapBllM3o5UGTz3t8y,Group,1,[],0
4445,Bye Dead Horse,188d2356-0145-44a3-837a-90875bd5b6c7,,Group,0,[],0
4446,Decadence,590edc00-ae79-4079-8ecd-93220b0ea509,5bgW1AysTzHav20snaPkyp,Group,15982,"['idol rock', 'japanese death metal', 'japanese power metal']",41
4447,Invariant,762e2e7d-b040-40c2-9e1c-8a35d88f13be,1mo4Ymh4rnHvwbbBUfwGhG,Group,58,[],1
4448,Archetype of Ambivalence,a5bef868-4c60-4f1e-b79c-d31de120e68f,,Group,0,[],0
4449,Le Phonographe,33b847e9-0dc2-4e68-917c-7e73ceef5c79,,Group,0,[],0
4450,чаикастерх,1a5dda3b-6772-4ae7-83b5-bd5256194f7f,,Group,0,[],0
4451,Mars-96,9b250925-ad6b-4f42-a6e5-d1532ab2ca2e,,Group,0,[],0
4452,Бритвы,bf62d5d0-b25c-47da-9f73-7b14d77ec0f4,,Group,0,[],0
4453,Lezvie,1ff13831-38fa-4ae0-a8a6-a2df417fa169,5YZ5AExR68U3ZblH6HcO6B,Group,104718,"['alternative r&b', 'indie r&b', 'indie soul', 'pop r&b', 'trap soul']",62
4454,Tolmachevy Sisters,c6f2e63d-08fe-47e4-99fa-e458caa79f95,4kFmlgElSfMS3V773eKlMq,Group,527,[],9
4455,Mikhail Simonyan,1ae39e61-18e2-4ed2-8099-c7015ad291d3,0dmrY4jCRHZ3ssxOR1xZ10,Person,37,[],0
4456,Quarantine,9bd0ebc5-94b5-4298-90a3-392ee05ae181,2dIH5e4BpTOd2c7TQn0J7f,Person,48,[],34
4457,Unplugged Mind,757d8c78-c824-47d4-b0f4-a08105f5f27c,,Person,0,[],0
4458,Acidkit,bc4a4813-c6f0-4a48-9077-45f334db5788,5l2sQt7OiJEll1xNgc4s7k,Person,0,[],3
4459,Борис Тихонович Кожевников,1a28a2a8-c31b-44f4-841a-fc681b4cc370,,Person,0,[],0
4460,Данко,4c8b8978-1ae5-41fd-8f60-44175b5603d9,7CGoviGsNXYmGOBkXk8dtW,Person,142515,"[""punk 'n' roll"", 'swedish alternative rock']",56
4461,Александр Александрович Юрлов,77f73f46-6234-45a3-bb99-c7241d23db56,,Person,0,[],0
4462,Ирина Сухаребская,1e0d5a09-ab4a-4db2-b841-7ddb13217fdc,,Person,0,[],0
4463,Tisero,7de2db41-8d9f-44e2-87f4-f942ba24cbf6,2o5jDhtHVPhrJdv3cEQ99Z,Person,5144086,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop', 'trance', 'tropical house']",84
4464,Борис Михайлович Феоктистов,ec4183ee-8f19-4341-b891-2f8494e1b1f7,,Person,0,[],0
4465,Alexei Bruni,f95c956f-26dc-45f8-b0a3-936892ec45fc,0Fbwf6hllrXDWzXQl9l3g1,Person,231,[],18
4466,Александр Дмитриевич Шереметьев,b1a704e8-eba7-4d04-a7a5-8ab15500c843,,Person,0,[],0
4467,Violetta Egorova,e0c4b368-dde4-4d63-bd1d-4359ad00b38e,,Person,0,[],0
4468,Alexander Xendzov,23b54b9d-d9b5-47d8-8370-36f0f1fdbad3,06Vucc69wGvwOqgRanm8ug,Person,52,['cosmic uplifting trance'],3
4469,Ilmārs Lapiņš,3a32efa1-009a-44b5-8f28-9396313b28ae,0dI3iXIxXjAtMkzZCsOVEg,Person,984,[],34
4470,Михаил Вавич,3f746b5e-69ac-408a-bd9c-a9b81863ab32,1dbeyvDDUHlcVgte93WDLg,Person,8,['russian romance'],0
4471,Ormatie,2d5e9d58-2401-49ea-8e87-dd2c95c815a3,0sY4tmIM40H8aTwyeaWDa7,Person,246,[],13
4472,ᛁ,d2422e9b-df82-4819-b474-9f3ab2ef02d8,,Group,0,[],0
4473,Лоя,fee99ba9-5a96-4f8c-bcee-30d11988f369,6GpDGD5qrahn7HNztVtNYk,Person,563,[],26
4474,Johann von Gardner,ecef033d-9ac7-44bf-a6e2-27759671e19a,7ML8F8s0eICoLvzlMOmIRi,Person,0,[],0
4475,ACM,1e72d74f-2378-43bc-9ea9-fdae0b66027c,711MCceyCBcFnzjGY4Q7Un,Person,16493604,"['australian rock', 'hard rock', 'rock']",86
4476,Liquedator,ac3512bc-ceaa-4dc1-be15-82f8fabb650e,3y5rgbOebf67tdB1vHvSvR,Person,29,[],0
4477,Леонид Филатов,4e3c33ba-4d60-4723-9c0b-2e0b0a73d3af,53pkLGpqFjxVcjoEHBw8eG,Person,36,[],7
4478,L'Bentley,9522d657-6400-46b6-8485-4f36f027e214,3yWWrI17coyYbqvYERBcHN,Person,4,[],20
4479,Agbo,d75c4213-3656-49c2-9024-1336e336e9e1,31W5EY0aAly4Qieq6OFu6I,Person,5120748,"['melodic rap', 'pop rap', 'rap']",88
4480,Death,7dddc852-f2b0-4d59-88c6-955564c7bd0e,0YrtvWJMgSdVrk3SfNjTbx,Person,1205643,"['indie pop', 'indie rock', 'modern rock', 'pop rock', 'washington indie']",70
4481,DJ Party-Zan,66013630-4fc1-4c97-95cf-af0e47e0d9a3,6SQjjimw1XdT78SA8pCXYb,Person,1,[],4
4482,Игорь Назарук,7fc2b5a7-ccd0-4bb5-84bb-af76b63d50f9,,Person,0,[],0
4483,Билли Новик,236ff3d9-87d4-482f-9159-a80795f8839b,1DgQfDf8N8aPHBkeM8fsGC,Person,139,[],10
4484,Егор Липатор,7f06a1c0-b87c-477a-9330-f064b5cb0106,,Person,0,[],0
4485,Low Pulse,961c6e2d-c976-44a7-80c8-d93d5f0640b0,0oZiFuYEENRnTBZlax35pn,Person,25,[],17
4486,Шура Кузнецова,2a447dd3-82af-4c3f-b316-671506641dda,5PK97jVjVX1jprY2wZjjc1,Person,6895,[],32
4487,Борис Петрович Кравченко,71554b74-0365-4f95-8da3-eb8373f94506,,Person,0,[],0
4488,ЖЫ,b1bc8520-8c25-4be1-8e12-5283927a38f0,1pklJFELBQjwFfhbQv7Unl,Person,0,[],0
4489,Борис Феоктистов,330dcaae-577b-4e8e-8107-262fe5a6289b,5Jw5YSE9MyfemusLloGifh,Person,1,[],0
4490,Aksenty Beskrovny,e0064287-b9ff-4ef3-92be-42a8b8b87ad8,,Person,0,[],0
4491,A. Uvarov,26f9cca4-8185-4949-ba1a-f7d80478fb2d,,Person,0,[],0
4492,Revelation of the Dead Girl,708722bd-1b2c-4de2-afd1-508ba8c03138,,Person,0,[],0
4493,Aqupunktur,5b7c1b4a-1855-4bb2-8b46-88f5f569b0e6,,Person,0,[],0
4494,E. Budanov,edd0c670-dfca-44b2-9f96-4338f5451ab3,,Person,0,[],0
4495,Slava Gold,8e7951ab-0418-4100-9174-dd2055828e39,6vobs1Cs73A7RFtV0LrQBy,Person,36,[],7
4496,Roman Ram Lobashkov,1a1af1dc-314c-43c3-a0d4-633b2eb80b06,,Person,0,[],0
4497,Владимир Федорович Одоевский,b2f5ce78-cb76-4649-b8ab-54c783dd8704,,Person,0,[],0
4498,Oleg Skutte,0575f76a-a0ff-4b00-9921-7670a5c895b1,,Person,0,[],0
4499,Brain Crisis,50292c70-936b-4fef-aa6e-bf145aa90432,1iCJuoT6706a58rsYk06lg,Person,323,[],6
4500,Теодор Ефимович Ефимов,8d8f5f1b-d11b-4d42-ac6b-1b58d7fe97ff,,Person,0,[],0
4501,WTZT,20df5eeb-184b-43de-919d-a87282321f62,3ebS2RuCq8QeLyndUDmgB5,Person,22376,['pop rap'],60
4502,Diviana,35df8cd9-b63e-46c1-8f16-74e91372bda3,41fGnoX6m27IaN3vAW2knx,Person,26088,"['classic venezuelan pop', 'musica llanera', 'tropical']",40
4503,Юрий Спиридонович Морфесси,e67f4790-1390-4881-984a-5e8499f7f94b,,Person,0,[],0
4504,Thesys,fa02ce14-d2ed-472a-8c72-144928455fc5,67NN7SgdxKesGnxZOB8YeX,Person,38527,"['funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']",43
